Telescope,Instrument,Wavelength_ini [microns],Wavelength_end [microns],Pixelscale [mas/px],Reference
TMT,IRIS,1,3,4,https://arxiv.org/pdf/1608.01720.pdf
TMT,MICHI,3,5,11.9,
TMT,MICHI,8,12,27.5,
ELT,MICADO,1,3,6,https://www.eso.org/public/teles-instr/elt/elt-instr/micado/
ELT,METIS,3,5,8,https://www.eso.org/public/teles-instr/elt/elt-instr/metis/
ELT,METIS,5,12,21.2,https://www.eso.org/public/teles-instr/elt/elt-instr/metis/
JWST,NIRCAM,1,3,32,https://jwst.stsci.edu/instrumentation/nircam
JWST,NIRISS,3,5,65,https://jwst-docs.stsci.edu/display/JTI/NIRISS+Imaging
JWST,MIRI,5,30,110,https://jwst-docs.stsci.edu/display/JTI/MIRI+Imaging#MIRIImaging-MIRIFiltersImagingfilters
GMT,GMTIFS,0.9,2.5,5,http://www.gmto.org/resources/near-ir-ifu-and-adaptive-optics-imager-gmtifs/
GMT,Nyquist,3,5,15,This work
GMT,Nyquist,5,12,41,This work
KECK,NIRC2,0.9,5.3,9.94,https://www2.keck.hawaii.edu/inst/nirc2/genspecs.html
KECK,Nyquist,5.5,20,100,
